id,试卷名称,试题简介,words
55,2019级16班物理第一周错题,"在商场里,妈妈和5岁的小东正乘自动扶梯下楼.小东拉着妈妈的手说:“妈妈,我们跑下去吧!”妈妈说:&...",2019 16 物理 第一周 错题 商场 妈妈 小东 自动扶梯 下楼 小东拉着 妈妈 妈妈 我们 跑下去 妈妈 &...
56,2019级16班物理第一周错题,"公路上飞驰而过的汽车、水里游动的鱼、天空飞翔的雄鹰,它们的位置都发生了_______物理学中称这种现象为____...",2019 16 物理 第一周 错题 公路 飞驰 汽车 水里游 天空 飞翔 雄鹰 它们 位置 发生 _______ 物理学 中称 这种 现象 ____...
57,第3节　运动的快慢,"(哈尔滨中考)百米赛跑时,甲、乙运动员从同一起跑线同时起跑,某时刻位置如图所示,可知运动较快的_______,你...",运动 快慢 哈尔滨 中考 百米赛跑 运动员 同一 起跑线 同时 起跑 时刻 位置 如图所示 可知 运动 _______ ...
58,第3节　运动的快慢,"一辆汽车做匀速直线运动的速度为15 m/s,读作_______,其物理意义是_______若汽车上的速度表如图所示,则汽车...",运动 快慢 一辆 汽车 匀速直线 运动 速度 15 读作 _______ 物理 意义 _______ 汽车 速度表 如图所示 汽车 ...
59,第3节　运动的快慢,(武汉中考)2017年举行的武汉马拉松吸引了两万多名国内外选手参赛.如图为选手们通过建成通车60周年的武汉长...,运动 快慢 武汉 中考 2017 举行 武汉 马拉松 吸引 两万多名 国内外 选手 参赛 如图 选手 通过 建成 通车 60 周年 武汉 ...
60,第3节　运动的快慢,"《校车驾驶员安全管理规定》中明确指出车速不得超过40 km/h,“40 km/h”是指校车在行驶过程中的_...",运动 快慢 校车 驾驶员 安全 管理 规定 明确指出 车速 不得 超过 40 km 40 km 校车 行驶 过程 _...
61,第3节　运动的快慢,"(营口中考)一架战斗机巡航的速度为500 m/s,合_______km/h.军演地点距军用机场的距离为3 600 km,则战斗机从...",运动 快慢 营口 中考 一架 战斗机 巡航 速度 500 _______ km 军演 地点 军用机场 距离 600 km 战斗机 ...
62,第3节　运动的快慢,"(无锡中考)小明想测量无锡地铁的运行速度.他测得地铁从堰桥站出发到达锡北运河站所用时间为2 min,在手机中...",运动 快慢 无锡 中考 小明 测量 无锡 地铁 运行 速度 他测 地铁 堰桥 出发 到达 北运河 所用 时间 min 手机 ...
63,第3节　运动的快慢,"(聊城中考)暑假,家住聊城的小明准备乘坐Z308次列车去北京参加青少年夏令营,该车经停车站的信息如下表所示,...",运动 快慢 聊城 中考 暑假 家住 聊城 小明 准备 乘坐 z308 次列车 北京 参加 青少年 夏令营 该车 停车站 信息 如下 所示 ...
64,第3节　运动的快慢,"“五一”劳动节期间,小明一家开车外出旅游,途中看到如图所示的限速牌.小明用了10 min的时间通过...",运动 快慢 五一 劳动节 期间 小明 一家 开车 外出 旅游 途中 看到 如图所示 限速 小明用 10 min 时间 通过 ...
65,第3节　运动的快慢,"(德阳中考)某艘船在静水中的速度为6 m/s,现在它在水流速度为2 m/s的河中逆流行驶,在经过一座桥时掉落了一只...",运动 快慢 德阳 中考 某艘 水中 速度 现在 水流 速度 河中 逆流 行驶 经过 一座 桥时 掉落 一只 ...
66,09月17日物理课堂练习101长度时间测量,"(2019新疆建设兵团)北京天安门广场升国旗时,护旗队员每一步行进的距离是( )",09 17 物理 课堂练习 101 长度 时间 测量 2019 新疆建设兵团 北京天安门广场 升国旗 护旗 队员 一步 行进 距离
67,09月17日物理课堂练习101长度时间测量,下列有关长度的测量说法错误的是( ),09 17 物理 课堂练习 101 长度 时间 测量 下列 有关 长度 测量 说法 错误
68,09月17日物理课堂练习101长度时间测量,"下列数值中,单位应该是厘米的是( )",09 17 物理 课堂练习 101 长度 时间 测量 下列 数值 单位 应该 厘米
69,09月17日物理课堂练习101长度时间测量,"下列对时间和长度的估测,其中最接近实际的是( )",09 17 物理 课堂练习 101 长度 时间 测量 下列 时间 长度 估测 其中 接近 实际
70,09月17日物理课堂练习101长度时间测量,"下列估测的数据中,最接近实际的是( )",09 17 物理 课堂练习 101 长度 时间 测量 下列 估测 数据 接近 实际
71,09月17日物理课堂练习101长度时间测量,"如图,停表的读数是mins;",09 17 物理 课堂练习 101 长度 时间 测量 如图 停表 读数 mins
72,09月17日物理课堂练习101长度时间测量,"如图所示,用刻度尺测量物体的长度,读数时视线正确的是  (填“A”或“B”),测出该物体...",09 17 物理 课堂练习 101 长度 时间 测量 如图所示 刻度尺 测量 物体 长度 读数 视线 正确 测出 物体 ...
73,09月17日物理课堂练习101长度时间测量,"体育课测验跳远,用皮卷尺测得某同学的跳远成绩为1.22m,由此可知,皮卷尺的分度值为 dm,其中准确值是  m,估读...",09 17 物理 课堂练习 101 长度 时间 测量 体育课 测验 跳远 用皮 卷尺 测得 同学 跳远 成绩 1.22 由此可知 卷尺 分度 值为 dm 其中 准确 估读 ...
74,09月17日物理课堂练习101长度时间测量,"一位同学用刻度尺5次测得某物体的长度分别是:10.42cm、10.21cm、10.43cm、10.44cm、10.43cm,这 些数据中,错...",09 17 物理 课堂练习 101 长度 时间 测量 一位 同学 刻度尺 次测 物体 长度 分别 10.42 cm 10.21 cm 10.43 cm 10.44 cm 10.43 cm 数据 ...
75,09月17日物理课堂练习101长度时间测量,"如图所示,用A、B 两刻度尺测一木块的边长,就工具的分度值而言,  (填字母)刻度尺精密些;就使 用方法而言,  (...",09 17 物理 课堂练习 101 长度 时间 测量 如图所示 刻度尺 测一 木块 边长 工具 分度 而言 字母 刻度尺 精密 方法 而言 ...
76,09月17日物理课堂练习101长度时间测量,下列长度的单位换算正确的是( ),09 17 物理 课堂练习 101 长度 时间 测量 下列 长度 单位 换算 正确
77,09月17日物理课堂练习101长度时间测量,下列刻度尺的使用方法中正确的是(  ),09 17 物理 课堂练习 101 长度 时间 测量 下列 刻度尺 使用 方法 正确
78,09月17日物理课堂练习101长度时间测量,"用塑料卷尺测量长度时,若用力拉尺进行测量,那么由此可能引起测量结果(  )",09 17 物理 课堂练习 101 长度 时间 测量 塑料 卷尺 测量 长度 用力 拉尺 进行 测量 那么 由此 可能 引起 测量 结果
79,09月17日物理课堂练习101长度时间测量,"用分度值是1mm 的尺子去测量一支铅笔的直径,下面是几个同学的记录,其中错误的是( )",09 17 物理 课堂练习 101 长度 时间 测量 分度 1mm 尺子 测量 一支 铅笔 直径 下面 几个 同学 记录 其中 错误
80,09月17日物理课堂练习101长度时间测量,"下列关于误差和错误的说法,正确的是(  )",09 17 物理 课堂练习 101 长度 时间 测量 下列 关于 误差 错误 说法 正确
81,09月17日物理课堂练习101长度时间测量,"某同学进行测量记录时因粗心漏掉了单位,请你补上:物理教科书的长度为26  ,课桌的宽度为 0.65  .",09 17 物理 课堂练习 101 长度 时间 测量 同学 进行 测量 记录 时因 粗心 漏掉 单位 补上 物理 教科书 长度 26 课桌 宽度 0.65
82,09月17日物理课堂练习101长度时间测量,"如图1所示,物体的长度是  cm.如图所示,使用厚刻度尺测量物体的长度时,符合要求的是  图,写出与图2相对应的...",09 17 物理 课堂练习 101 长度 时间 测量 如图 所示 物体 长度 cm 如图所示 使用 刻度尺 测量 物体 长度 符合要求 写出 相对 ...
83,09月17日物理课堂练习101长度时间测量,"在一条长绳的一端系一个小铁块就做成了一个摆,要测出它摆动一个来回所用的时间(周期: T),方法是 :用秒表测...",09 17 物理 课堂练习 101 长度 时间 测量 一条 长绳 一端 一个 铁块 做成 一个 测出 摆动 一个 来回 所用 时间 周期 方法 秒表 ...
84,09月17日物理课堂练习102运动的描述,下列运动不属于机械运动的是(  ),09 17 物理 课堂练习 102 运动 描述 下列 运动 属于 机械运动
85,09月17日物理课堂练习102运动的描述,"国产歼—15舰载机从航空母舰“辽宁号”上起飞,如图所示,若说该飞机上的飞行员 是静止的,所...",09 17 物理 课堂练习 102 运动 描述 国产 15 舰载机 航空母舰 辽宁 起飞 如图所示 飞机 飞行员 静止 ...
86,09月17日物理课堂练习102运动的描述,"(2019自贡)鲁迅的«社戏»中有这样的描写:“淡黑的起伏的连山,仿佛是踊跃的铁的兽脊似的,都...",09 17 物理 课堂练习 102 运动 描述 2019 自贡 鲁迅 社戏 中有 这样 描写 淡黑 起伏 连山 仿佛 踊跃 似的 ...
87,09月17日物理课堂练习102运动的描述,"我国高铁以高速、平稳、安全著称.在高速行驶的复兴号上,某乘客看到一枚立着的硬币保持数分钟静止 不动.乘客...",09 17 物理 课堂练习 102 运动 描述 我国 高铁 高速 平稳 安全 著称 高速行驶 复兴号 乘客 看到 一枚 立着 硬币 保持 数分钟 静止 不动 乘客 ...
88,09月17日物理课堂练习102运动的描述,"关于运动和静止,下列说法错误的是(  )",09 17 物理 课堂练习 102 运动 描述 关于 运动 静止 下列 说法 错误
89,09月17日物理课堂练习102运动的描述,"关于机械运动的概念,下列说法错误的是(   )",09 17 物理 课堂练习 102 运动 描述 关于 机械运动 概念 下列 说法 错误
90,09月17日物理课堂练习102运动的描述,"看电视转播的百米赛跑时,我们常常感觉运动员跑得很快,但实际上他们始终在屏幕内,我们认为运动员 是运动的,...",09 17 物理 课堂练习 102 运动 描述 电视转播 百米赛跑 我们 常常 感觉 运动员 很快 实际上 他们 始终 屏幕 我们 认为 运动员 运动 ...
91,09月17日物理课堂练习102运动的描述,"空中飞翔的鸟对飞机构成了巨大威胁,鸟与飞机相撞引起机毁人亡的原因是(  )",09 17 物理 课堂练习 102 运动 描述 空中 飞翔 飞机 构成 巨大 威胁 飞机 相撞 引起 机毁 人亡 原因
92,09月17日物理课堂练习102运动的描述,"(2019武昌模拟)2019年4月14日,武汉马拉松赛激情开跑,这是武汉一次重大的体育赛事,向世界展示 了一个生态、...",09 17 物理 课堂练习 102 运动 描述 2019 武昌 模拟 2019 14 武汉 马拉松赛 激情 这是 武汉 一次 重大 体育赛事 世界 展示 一个 生态 ...
93,09月17日物理课堂练习102运动的描述,"(2019大冶期末)歌词“小小竹排江中游,巍巍青山两岸走”,前句描述的运动物体和后一 句的参照物分...",09 17 物理 课堂练习 102 运动 描述 2019 大冶 期末 歌词 小小 竹排 中游 巍巍 青山 两岸 前句 描述 运动 物体 参照物 ...
94,09月17日物理课堂练习102运动的描述,"(2019新疆建设兵团)2019年1月3日,我国“嫦娥四号”探测器在月球背面成功着陆,标志着我国探月工 ...",09 17 物理 课堂练习 102 运动 描述 2019 新疆建设兵团 2019 我国 嫦娥 四号 探测器 月球 背面 成功 着陆 标志 我国 探月工 ...
95,09月17日物理课堂练习102运动的描述,"某次奥运圣火传递活动中,现场某记者同时拍下了固定在地面上随风飘动的旗帜和 附近的甲、乙两火炬照片,如图...",09 17 物理 课堂练习 102 运动 描述 某次 奥运 圣火 传递 活动 现场 记者 同时 拍下 固定 地面 随风飘 旗帜 附近 火炬 照片 如图 ...
96,09月18日物理课堂练习103,"一个正在做匀速直线运动的物体,关于v=s/t,下列说法正确的是(  )",09 18 物理 课堂练习 103 一个 正在 匀速直线 运动 物体 关于 下列 说法 正确
97,09月18日物理课堂练习103,"陈老师喜爱绕白云湖行走,通过手机软件测得四十分钟行走6000步,路程约4km.据此估计他行走的平 均速度和一步...",09 18 物理 课堂练习 103 陈老师 喜爱 白云 行走 通过 手机软件 四十分钟 行走 6000 路程 4km 据此 估计 行走 速度 一步 ...
98,09月18日物理课堂练习103,下面的成语中与物理学中描述运动快慢的方法最相近的是(  ),09 18 物理 课堂练习 103 下面 成语 物理学 描述 运动 快慢 方法 相近
99,09月18日物理课堂练习103,"一辆正在高速公路上行驶的汽车,其速度表如图所示,指针显示汽车速度为  km/h,合  m/s.",09 18 物理 课堂练习 103 一辆 正在 高速公路 行驶 汽车 速度表 如图所示 指针 显示 汽车 速度 km
100,09月18日物理课堂练习103,"如图所示,一木块在水平面上运动时,在相等时间内连续拍摄4次“频闪”照片,频闪的时间间隔为0.02s....",09 18 物理 课堂练习 103 如图所示 木块 水平 面上 运动 相等 时间 连续 拍摄 频闪 照片 频闪 时间 间隔 0.02 ....
101,09月18日物理课堂练习103,"如图所示是深受年轻人喜爱的电动平衡车.  (1)平衡车在行驶过程中,以车为参照物,车上的人是  的.  (2)平 衡 ...",09 18 物理 课堂练习 103 如图所示 深受 年轻人 喜爱 电动 平衡 平衡 行驶 过程 以车 参照物 车上 ...
102,09月18日物理课堂练习103,"速度是表示物体运动快慢的物理量,物理学上的速度在数值上等于物体在单位时间内通过的路程,那么, 能否用单位...",09 18 物理 课堂练习 103 速度 表示 物体 运动 快慢 物理量 物理学 速度 数值 等于 物体 单位 时间 通过 路程 那么 能否 单位 ...
103,09月18日物理课堂练习103,"为了践行“绿色环保”的生活理念,小张、小王、小李从同一地点 A 沿同一道路同时出发,最终都到达...",09 18 物理 课堂练习 103 为了 践行 绿色 环保 生活 理念 小张 小王 同一 地点 同一 道路 同时 出发 最终 到达 ...
104,09月18日物理课堂练习103,"(2019无锡)小明和小红从同一地点、沿同一直线,以大小相等的速度,同时向相反方向匀速行走,1min后 两人相距12...",09 18 物理 课堂练习 103 2019 无锡 小明 和小红 同一 地点 同一 直线 大小 相等 速度 同时 相反 方向 匀速 行走 1min 两人 相距 12 ...
105,09月18日物理课堂练习103,"一辆汽车在平直的公路上行驶了120km 的路程,前半段路程的平均速度为60km/h,后半段路程的平均 速度为40km/h....",09 18 物理 课堂练习 103 一辆 汽车 平直 公路 行驶 120km 路程 前半段 路程 平均速度 60km 后半段 路程 平均 速度 40km ....
106,09月18日物理课堂练习103,"如图记录了甲、乙两辆汽车在平直公路上行驶时,在某段时间内的运动过程.关于甲、乙两车的运动情 况,说法错误...",09 18 物理 课堂练习 103 如图 记录 两辆 汽车 平直 公路 行驶 段时间 运动 过程 关于 两车 运动 说法 错误 ...
107,09月18日物理课堂练习103,"小聪一家去北京旅游,在北京市郊公路的十字路口,他看到如图所示的交通标志牌,标志牌上的数字 “40&rdqu...",09 18 物理 课堂练习 103 小聪 一家 北京 旅游 北京 市郊 公路 十字路口 看到 如图所示 交通 标志牌 标志牌 数字 40 rdqu ...
108,09月18日物理课堂练习103,"(2019台儿庄期末)小锋假期和爸爸乘车外出,发现公路边的树木向后运动,这是以  (1个字)为参照物的.如果小锋发...",09 18 物理 课堂练习 103 2019 台儿庄 期末 小锋 假期 爸爸 乘车 外出 发现 公路 树木 运动 参照物 如果 小锋发 ...
109,09月18日物理课堂练习103,"甲、乙两物体都做直线运动,通过的路程之比是3∶1,所用的时间之比是2∶3,则甲、乙两物体运动的平均速度之比...",09 18 物理 课堂练习 103 物体 直线运动 通过 路程 所用 时间 物体 运动 平均速度 之比 ...
110,09月18日物理课堂练习103,"首条开建的武昌站至关山快速公交示范线,是湖北省第二条 BRT 线路.线路走向为:武昌火车站东广 场—雄楚...",09 18 物理 课堂练习 103 首条 开建 武昌站 关山 快速 公交 示范 湖北省 第二条 brt 线路 线路 走向 武昌 火车站 东广 雄楚 ...
111,章末复习,"如图甲所示,小明用刻度尺测量物体的长度,其中所使用刻度尺的分度值为_______,物体的长度是_______cm;如图乙...",章末 复习 如图 所示 小明用 刻度尺 测量 物体 长度 其中 使用 刻度尺 分度 值为 _______ 物体 长度 _______ cm 如图 ...
112,章末复习,"(贵阳中考)2017年4月22日是我国航天史上又一重大日子,“天舟1号”无人驾驶货运飞船与在太空轨道...",章末 复习 贵阳 中考 2017 22 我国 航天史 重大 日子 天舟 无人驾驶 货运 飞船 太空 轨道 ...
