id,试卷名称,试题简介,word2vec
35,章末复习,"(淮安中考)周末,小明乘坐“今世缘”号有轨电车去周恩来纪念馆参观,在有轨电车行驶过程中,小明觉...","[0.03326410333187703,0.0033591274747296293,-0.022758228676941463,0.10257288684849353,0.0378965666408048]"
36,章末复习,"(成都中考改编)小李每天坚持用“微信运动”来统计当天行走的步数,如图为她在6月12日的步行情况....","[0.0011137667063035462,-0.04459277560052118,0.004437055438756943,0.1421371335898967,0.06010363352681069]"
37,章末复习,"(河北中考)平直公路上并排停放着两辆汽车,一段时间后,坐在甲车上的小明感觉乙车向北运动,关于两辆汽车的运...","[-0.02368568323020424,-0.14963798153968083,0.22626155455197605,0.030888654912511505,0.1748639016434373]"
38,章末复习,(黄石中考)湖北省第十四届中学生运动会于5月17至27日在秀美山水宜居名城——湖北·黄石成功举行.在百...,"[0.010660593839068162,0.03273284827408038,0.03214247392392472,0.11212679474173406,0.13871534259401652]"
39,章末复习,"(咸宁中考)如图是某物体做直线运动时的路程随时间变化的图象,由图象判断下列说法错误的是()","[-0.13414965814445168,-0.02269653885741718,-0.20425213174894452,-0.02389929088531062,0.19178689795080572]"
40,第3节　运动的快慢,"观看百米赛跑时运动员们到达终点前,观众判断谁跑得快的根据是()","[0.03419528901576996,-0.1948144208978523,-0.027434175326065586,-0.0009574646299535578,0.1196388101670891]"
41,第3节　运动的快慢,"(湖州中考)下列体育项目中,以“速度”这一物理量作为评定标准的是()","[0.03109585342463106,-0.09009815480870505,-0.039809445336383455,0.014742824248969555,0.07280679852313672]"
42,第3节　运动的快慢,"空中加油机给战斗机进行加油,如果战斗机在加油时,2 s内飞行了0.4 km.则在加油时,空中加油机的速度为()","[0.05316271539777517,-0.11935829919050721,0.061587212223778755,-0.02878508382641217,0.03823839121169465]"
43,第3节　运动的快慢,"现在陆地上跑得最快的动物是猎豹,在水中游得最快的动物是旗鱼,在空中飞得最快的动物是褐海燕,如图所示是三...","[0.009260227643501233,-0.08175959429868004,0.0023113171953488797,0.03047402504393283,0.011668098638491595]"
44,第3节　运动的快慢,下列物体的运动可近似看作匀速直线运动的是(),"[-0.04916899961729844,-0.3255799752142694,0.0024251648121409943,-0.1401409858630763,0.009383138708977235]"
45,第3节　运动的快慢,"(天门中考)关于平均速度,下列叙述中错误的是()","[-0.045475820596847266,-0.13759867495132816,-0.15166087285615504,-0.21559706019858518,0.2254886787333008]"
46,第3节　运动的快慢,"如图记录了甲、乙两辆汽车在平直公路上行驶时,在某段时间内的运动过程.关于甲、乙两车的运动情况,说法错误...","[-0.09075281190636911,-0.18787991608444013,-0.04586530786840931,-0.13015022462135867,0.13714568357375498]"
47,2019级16班物理第一周错题,"初中生小红想对比测量一个月前后自己的身高变化,选用下列哪种尺最合适()","[-0.03580479323863983,-0.16822373908427027,-0.1284787258029812,0.02147898583724681,0.03216089577310615]"
48,2019级16班物理第一周错题,下列各个过程中经历的时间最接近1秒的是(),"[-0.1831929074092345,-0.1620750410312956,-0.20825471669774165,-0.03955154292370108,-0.061752025545998054]"
49,2019级16班物理第一周错题,"如图所示,用A、B两把刻度尺测量同一物体的长度,准确程度较高的是_______刻度尺,最接近物体长度真实值的读数...","[-0.03575428219681436,-0.24859148442787543,0.031038245038044726,-0.07075910089241172,-0.04979256227273833]"
50,2019级16班物理第一周错题,"(贵港中考)如图1所示,所测物体的长度是_______cm.如图2所示,停表显示的时间是_______s.","[-0.09136572731658817,-0.19211949966847897,-0.08932484891265631,0.06619059609947726,-0.03659204337745905]"
51,2019级16班物理第一周错题,"市场上有一款PM2.5检测仪,它可测量空气中直径范围为0.3~2.5 μm的颗粒物浓度,即它可测出最小直径为_______m...","[-0.007247722792354497,-0.1006570034660399,-0.028923015343025327,-0.09291941339192404,-0.09072414802556689]"
52,2019级16班物理第一周错题,"如图所示为学校运动会接力赛交接棒情景,小铭同学发现在4×100 m 的接力赛交接棒的过程中有两种交接方式: 第...","[-0.027566563054595303,-0.0488620534863161,-0.09559517706056003,0.05144043820505233,0.01246543981782768]"
53,2019级16班物理第一周错题,"随着城市建设的加快,城市交通大为改善.在南京“中山北路”平直的快车道上,有三辆汽车正同向顺风...","[-0.006774519348428362,-0.07696595351167378,0.05315368075943774,-0.009726539620065262,-0.03583856216088558]"
54,2019级16班物理第一周错题,"小明喜欢打篮球,更喜欢观看电视转播的CBA比赛.他发现:运动员始终处于电视屏幕上,但我们却感觉运动员在球场...","[0.006287053308409193,-0.044789750412430454,-0.01972532705606326,0.05465353874530157,0.05731516191735864]"
55,2019级16班物理第一周错题,"在商场里,妈妈和5岁的小东正乘自动扶梯下楼.小东拉着妈妈的手说:“妈妈,我们跑下去吧!”妈妈说:&...","[0.01383921378018225,-0.18103176848415065,-0.02110712241162272,0.010504299487151644,0.01893975815790541]"
56,2019级16班物理第一周错题,"公路上飞驰而过的汽车、水里游动的鱼、天空飞翔的雄鹰,它们的位置都发生了_______物理学中称这种现象为____...","[-0.015732304215253817,-0.07244715094566345,0.02052602349292664,-0.023091824603311363,0.08619307571401198]"
57,第3节　运动的快慢,"(哈尔滨中考)百米赛跑时,甲、乙运动员从同一起跑线同时起跑,某时刻位置如图所示,可知运动较快的_______,你...","[0.04154052574406652,-0.09518257156014442,0.01420703308437677,-0.004526964498355108,0.08891416173976134]"
58,第3节　运动的快慢,"一辆汽车做匀速直线运动的速度为15 m/s,读作_______,其物理意义是_______若汽车上的速度表如图所示,则汽车...","[-0.0034646629873249265,-0.21115658721990055,0.21122416952210996,-0.01125042699277401,-0.011059924468605055]"
59,第3节　运动的快慢,(武汉中考)2017年举行的武汉马拉松吸引了两万多名国内外选手参赛.如图为选手们通过建成通车60周年的武汉长...,"[-0.15088946630500935,0.1916597448712723,-0.12146470488303088,0.1202910071323541,0.4502792061539367]"
60,第3节　运动的快慢,"《校车驾驶员安全管理规定》中明确指出车速不得超过40 km/h,“40 km/h”是指校车在行驶过程中的_...","[0.07114741715945695,-0.13242544139441298,-0.001427234273011747,-0.025665710876254657,0.02725486577439465]"
61,第3节　运动的快慢,"(营口中考)一架战斗机巡航的速度为500 m/s,合_______km/h.军演地点距军用机场的距离为3 600 km,则战斗机从...","[0.08095517166351017,-0.09086144343018532,0.039735606038256696,-0.0037814082675858545,0.0593518714150904]"
62,第3节　运动的快慢,"(无锡中考)小明想测量无锡地铁的运行速度.他测得地铁从堰桥站出发到达锡北运河站所用时间为2 min,在手机中...","[0.011301224962586448,-0.20030819411788667,0.06676078895993885,0.06818080897487344,0.014336776775529697]"
63,第3节　运动的快慢,"(聊城中考)暑假,家住聊城的小明准备乘坐Z308次列车去北京参加青少年夏令营,该车经停车站的信息如下表所示,...","[0.08989027785983952,-0.10346246483756907,0.0003198821266943758,0.010972183155403896,0.08048282365780324]"
64,第3节　运动的快慢,"“五一”劳动节期间,小明一家开车外出旅游,途中看到如图所示的限速牌.小明用了10 min的时间通过...","[-0.01674489628057927,-0.08173556933179499,0.018843157123774292,0.08818941761273891,0.06706164436182008]"
65,第3节　运动的快慢,"(德阳中考)某艘船在静水中的速度为6 m/s,现在它在水流速度为2 m/s的河中逆流行驶,在经过一座桥时掉落了一只...","[0.11723718453982943,-0.1013695193748725,0.012355938455776164,0.0520094694373639,0.05224489562801624]"
66,09月17日物理课堂练习101长度时间测量,"(2019新疆建设兵团)北京天安门广场升国旗时,护旗队员每一步行进的距离是( )","[-0.26357487068675894,-0.23101514555952127,0.17187197155812206,0.060740198775687634,-0.09264706064234761]"
67,09月17日物理课堂练习101长度时间测量,下列有关长度的测量说法错误的是( ),"[-0.4222004658409527,-0.27357937954366207,0.08230605136070933,0.01976084183635456,0.06295938151223318]"
68,09月17日物理课堂练习101长度时间测量,"下列数值中,单位应该是厘米的是( )","[-0.34655270266991395,-0.27449695228670656,0.18827061312129864,0.17596920071026453,-0.13239303331535596]"
69,09月17日物理课堂练习101长度时间测量,"下列对时间和长度的估测,其中最接近实际的是( )","[-0.3302102961577475,-0.3099791494508584,0.1656897202755014,0.11743705800424019,-0.09100955824057261]"
70,09月17日物理课堂练习101长度时间测量,"下列估测的数据中,最接近实际的是( )","[-0.39147054386110264,-0.2598711352508802,0.14446076585982856,0.16727613120411453,-0.11852720451469606]"
71,09月17日物理课堂练习101长度时间测量,"如图,停表的读数是mins;","[-0.4856140036135912,-0.31276789121329784,0.24381722509860992,0.23590380395762622,-0.17147803003899753]"
72,09月17日物理课堂练习101长度时间测量,"如图所示,用刻度尺测量物体的长度,读数时视线正确的是  (填“A”或“B”),测出该物体...","[-0.26109158728075654,-0.3089092334634379,0.1669758125453403,0.07183059035359245,-0.08154528156707161]"
73,09月17日物理课堂练习101长度时间测量,"体育课测验跳远,用皮卷尺测得某同学的跳远成绩为1.22m,由此可知,皮卷尺的分度值为 dm,其中准确值是  m,估读...","[-0.12900328015287715,-0.13805888996769983,0.13291552552470454,0.08506319559765635,-0.03792470797068543]"
74,09月17日物理课堂练习101长度时间测量,"一位同学用刻度尺5次测得某物体的长度分别是:10.42cm、10.21cm、10.43cm、10.44cm、10.43cm,这 些数据中,错...","[-0.15048266126325835,-0.2097774124531834,0.04640294583859267,0.12285777129646804,-0.08941361425375496]"
75,09月17日物理课堂练习101长度时间测量,"如图所示,用A、B 两刻度尺测一木块的边长,就工具的分度值而言,  (填字母)刻度尺精密些;就使 用方法而言,  (...","[-0.19535986694972962,-0.22401830266145142,0.14694236337461256,0.10815879100383344,-0.07309654554013502]"
76,09月17日物理课堂练习101长度时间测量,下列长度的单位换算正确的是( ),"[-0.3905279567608467,-0.30206464546231127,0.17881099736461273,0.10900577601905054,-0.0556194567336486]"
77,09月17日物理课堂练习101长度时间测量,下列刻度尺的使用方法中正确的是(  ),"[-0.40405801339791375,-0.26521382108330727,0.12758289678738668,0.13418062172758466,-0.07933874242007732]"
78,09月17日物理课堂练习101长度时间测量,"用塑料卷尺测量长度时,若用力拉尺进行测量,那么由此可能引起测量结果(  )","[-0.1982888520949266,-0.29594933260655537,0.1661924811672758,0.0666395368647169,-0.09533811203966087]"
79,09月17日物理课堂练习101长度时间测量,"用分度值是1mm 的尺子去测量一支铅笔的直径,下面是几个同学的记录,其中错误的是( )","[-0.2056135745009496,-0.22733457439712115,0.11164424127145182,0.049394044980761546,-0.06092353927947226]"
80,09月17日物理课堂练习101长度时间测量,"下列关于误差和错误的说法,正确的是(  )","[-0.4068858850348208,-0.14390069751867227,0.029128404068095342,-0.008679923135787249,0.17607023606875113]"
81,09月17日物理课堂练习101长度时间测量,"某同学进行测量记录时因粗心漏掉了单位,请你补上:物理教科书的长度为26  ,课桌的宽度为 0.65  .","[-0.20883908146061003,-0.20881101242654646,0.12689661296705404,0.12347996362950653,-0.10121671692468226]"
82,09月17日物理课堂练习101长度时间测量,"如图1所示,物体的长度是  cm.如图所示,使用厚刻度尺测量物体的长度时,符合要求的是  图,写出与图2相对应的...","[-0.2218070823861205,-0.2970514461074186,0.13536378716968972,0.10928104659947364,-0.10303257804606919]"
83,09月17日物理课堂练习101长度时间测量,"在一条长绳的一端系一个小铁块就做成了一个摆,要测出它摆动一个来回所用的时间(周期: T),方法是 :用秒表测...","[-0.16753315385431053,-0.1340589015185833,0.16032068924978377,0.0799049975257367,-0.12530943237245082]"
84,09月17日物理课堂练习102运动的描述,下列运动不属于机械运动的是(  ),"[-0.48625848306850955,-0.333987387786196,0.12892707979137247,0.14154957234859467,-0.023646535648202356]"
85,09月17日物理课堂练习102运动的描述,"国产歼—15舰载机从航空母舰“辽宁号”上起飞,如图所示,若说该飞机上的飞行员 是静止的,所...","[-0.2609530710097816,-0.2334284296311024,0.11529338595250414,0.1649176056186358,-0.010266527417115867]"
86,09月17日物理课堂练习102运动的描述,"(2019自贡)鲁迅的«社戏»中有这样的描写:“淡黑的起伏的连山,仿佛是踊跃的铁的兽脊似的,都...","[-0.15922935471116076,-0.2067667048734923,0.08342432769547616,0.05884203097472588,-0.037584302558874086]"
87,09月17日物理课堂练习102运动的描述,"我国高铁以高速、平稳、安全著称.在高速行驶的复兴号上,某乘客看到一枚立着的硬币保持数分钟静止 不动.乘客...","[-0.0864769690311872,-0.1800625767164792,0.0907259790513378,0.0847457131335082,0.031204897614840705]"
88,09月17日物理课堂练习102运动的描述,"关于运动和静止,下列说法错误的是(  )","[-0.4329748506156298,-0.2616563322237478,0.002833103331235739,0.004836132893195519,0.1483636392781941]"
89,09月17日物理课堂练习102运动的描述,"关于机械运动的概念,下列说法错误的是(   )","[-0.39688205898094636,-0.14280137194033998,-0.037556047622974105,0.08436430990695953,0.16269469517283142]"
90,09月17日物理课堂练习102运动的描述,"看电视转播的百米赛跑时,我们常常感觉运动员跑得很快,但实际上他们始终在屏幕内,我们认为运动员 是运动的,...","[-0.1417382787913084,-0.167561212129405,0.14169453452948644,0.1067009037360549,0.04099877707093306]"
91,09月17日物理课堂练习102运动的描述,"空中飞翔的鸟对飞机构成了巨大威胁,鸟与飞机相撞引起机毁人亡的原因是(  )","[-0.16733111568579548,-0.2028847829144644,0.11249154610069174,0.14470670764383517,0.011173075935068099]"
92,09月17日物理课堂练习102运动的描述,"(2019武昌模拟)2019年4月14日,武汉马拉松赛激情开跑,这是武汉一次重大的体育赛事,向世界展示 了一个生态、...","[-0.19819567350670697,-0.08637774424627423,0.06995185047388076,0.09325049392879009,0.04250633340328932]"
93,09月17日物理课堂练习102运动的描述,"(2019大冶期末)歌词“小小竹排江中游,巍巍青山两岸走”,前句描述的运动物体和后一 句的参照物分...","[-0.12027801929608635,-0.25688670628258714,0.07227099184756694,0.069170196581146,0.04544897258038754]"
94,09月17日物理课堂练习102运动的描述,"(2019新疆建设兵团)2019年1月3日,我国“嫦娥四号”探测器在月球背面成功着陆,标志着我国探月工 ...","[-0.11754108254205098,-0.2602833447850902,0.04283151335336945,0.0876291935459118,0.01858100548005578]"
95,09月17日物理课堂练习102运动的描述,"某次奥运圣火传递活动中,现场某记者同时拍下了固定在地面上随风飘动的旗帜和 附近的甲、乙两火炬照片,如图...","[-0.1348155887797475,-0.13997779147699477,0.06469438157975674,0.11114916786551476,0.060087251579388976]"
96,09月18日物理课堂练习103,"一个正在做匀速直线运动的物体,关于v=s/t,下列说法正确的是(  )","[-0.3454055127554706,-0.16640467649059634,0.08693016772823674,0.05534556295190538,0.12502151107349033]"
97,09月18日物理课堂练习103,"陈老师喜爱绕白云湖行走,通过手机软件测得四十分钟行走6000步,路程约4km.据此估计他行走的平 均速度和一步...","[-0.029633730565282432,-0.26097971734336833,0.1270789987915619,0.15560552901165053,0.053531808630478656]"
98,09月18日物理课堂练习103,下面的成语中与物理学中描述运动快慢的方法最相近的是(  ),"[-0.3092782486659976,-0.3183611335698515,0.17833872626607236,0.09144738626379807,-0.06739110465591344]"
99,09月18日物理课堂练习103,"一辆正在高速公路上行驶的汽车,其速度表如图所示,指针显示汽车速度为  km/h,合  m/s.","[-0.21190369852325494,-0.23515209095442996,0.3440500689013039,0.16339169864487998,-0.06223599788020639]"
100,09月18日物理课堂练习103,"如图所示,一木块在水平面上运动时,在相等时间内连续拍摄4次“频闪”照片,频闪的时间间隔为0.02s....","[-0.17550136681113923,-0.3207057352576937,0.1180193568358109,0.17987643931770608,-0.10433670972651314]"
101,09月18日物理课堂练习103,"如图所示是深受年轻人喜爱的电动平衡车.  (1)平衡车在行驶过程中,以车为参照物,车上的人是  的.  (2)平 衡 ...","[-0.21968395744139949,-0.23679557670321727,0.0915506813261244,0.17354788196583587,-0.011587896047987871]"
102,09月18日物理课堂练习103,"速度是表示物体运动快慢的物理量,物理学上的速度在数值上等于物体在单位时间内通过的路程,那么, 能否用单位...","[-0.10810178665754695,-0.2714110844341727,0.14659228447514275,0.06954083145440866,0.0013394385556845614]"
103,09月18日物理课堂练习103,"为了践行“绿色环保”的生活理念,小张、小王、小李从同一地点 A 沿同一道路同时出发,最终都到达...","[-0.15340419062836605,-0.2068920580839569,0.10299089762636207,0.12401174432174726,0.030351013368503616]"
104,09月18日物理课堂练习103,"(2019无锡)小明和小红从同一地点、沿同一直线,以大小相等的速度,同时向相反方向匀速行走,1min后 两人相距12...","[-0.19540740947167462,-0.22686027835768005,0.05078554157024393,0.13766860908183914,-0.0017600223386230378]"
105,09月18日物理课堂练习103,"一辆汽车在平直的公路上行驶了120km 的路程,前半段路程的平均速度为60km/h,后半段路程的平均 速度为40km/h....","[-0.1290609992363236,-0.43116137402301485,0.29155933399769396,0.06833885080943054,0.028044849464839157]"
106,09月18日物理课堂练习103,"如图记录了甲、乙两辆汽车在平直公路上行驶时,在某段时间内的运动过程.关于甲、乙两车的运动情 况,说法错误...","[-0.29751657809884774,-0.2604973394246328,0.06970601709603907,0.02256068569563684,0.060409073207882184]"
107,09月18日物理课堂练习103,"小聪一家去北京旅游,在北京市郊公路的十字路口,他看到如图所示的交通标志牌,标志牌上的数字 “40&rdqu...","[-0.10221792821010406,-0.2280473712493073,0.14596374085257677,0.1338661304590377,0.02383026633072983]"
108,09月18日物理课堂练习103,"(2019台儿庄期末)小锋假期和爸爸乘车外出,发现公路边的树木向后运动,这是以  (1个字)为参照物的.如果小锋发...","[-0.16856137106549882,-0.2366197751169758,0.08938892653843919,0.04939657551724286,-0.017627101092200195]"
109,09月18日物理课堂练习103,"甲、乙两物体都做直线运动,通过的路程之比是3∶1,所用的时间之比是2∶3,则甲、乙两物体运动的平均速度之比...","[-0.2507712007500231,-0.4145987816154957,0.21169532331987284,0.057469147199299186,-0.09700576339673717]"
110,09月18日物理课堂练习103,"首条开建的武昌站至关山快速公交示范线,是湖北省第二条 BRT 线路.线路走向为:武昌火车站东广 场—雄楚...","[-0.1328401158199362,-0.19083474608867065,0.1352776818220382,0.10230465204981358,-0.02855262870940825]"
111,章末复习,"如图甲所示,小明用刻度尺测量物体的长度,其中所使用刻度尺的分度值为_______,物体的长度是_______cm;如图乙...","[0.04021749184245155,-0.17832473213119165,0.020409812884671346,0.022374688270723534,-0.017763701866247823]"
112,章末复习,"(贵阳中考)2017年4月22日是我国航天史上又一重大日子,“天舟1号”无人驾驶货运飞船与在太空轨道...","[0.06188175312298186,-0.06207858146551777,0.06661383818615885,0.08731492310214568,0.12404081647229545]"
113,章末复习,"如图所示,“40”表示_______,在遵守交通规则的前提下,从这两个标志牌处到达“西大桥”...","[0.16868400241115264,-0.04612594237551093,0.04851396714470216,0.12747485090845398,0.13268112258187362]"
114,章末复习,"(攀枝花中考)小军用刻度尺和数字钟(时:分:秒)测木块在水平面上滑行的速度,木块滑动的位置与时间如图所示,则...","[0.0740152472216222,-0.0487217353656888,0.039953517727553844,0.13308052827293673,0.062491288926038474]"
115,章末复习,"(重庆中考)“五一”劳动节期间,很多外地游客乘坐重庆长江索道,体验重庆的“立体交通”...","[0.10164135954293765,-0.010349608369563754,0.002294482957375677,0.04797715451078195,0.1177990957604427]"
116,章末复习,"(邵阳中考)邵阳市区即将竣工的雪峰大桥,是一座翼型斜拉桥,其翼型伸展度居全国首位,大桥全长约为951 m,设计...","[0.13244894324717196,-0.10695110934532502,0.049396052617918365,0.05577905306761915,0.1067718958312815]"
117,章末复习,"(常州中考)阳湖中学龙舟队参加市300 m龙舟赛,前150 m的平均速度为3 m/s,后150 m的平均速度为5 m/s,全程的平...","[0.07221657928312197,-0.12063279282301664,0.07436515181325376,0.014215161238098517,0.09295511012896895]"
118,章末复习,"(潍坊中考)某兴趣小组的同学用斜面、小车、长刻度尺、录像机等,研究“斜面上运动的物体,运动路程和通...","[-0.08769710624919218,-0.30200944216374087,0.08498327642240945,-0.07715958663645912,0.022296958411221996]"
119,章末复习,"如图所示是小明乘坐出租车后获得的车费发票,车票上显示了一些数据,试根据其中的有关数据回答下列问题: 上车...","[-0.021637518974867733,-0.00869572569023479,-0.17517985119907695,0.11143438179384578,0.07304116499356249]"
120,2019级16班9.11-9.18错题集,"(河北中考)平直公路上并排停放着两辆汽车,一段时间后,坐在甲车上的小明感觉乙车向北运动,关于两辆汽车的运...","[-0.06166265544015914,-0.2585980469981829,0.13949254884695012,-0.06323424486132959,0.1108223821017115]"
121,2019级16班9.11-9.18错题集,"初中生小红想对比测量一个月前后自己的身高变化,选用下列哪种尺最合适()","[-0.004345180673731698,-0.2228313920398553,-0.13358429327814114,-0.04715409466168947,0.03697826320098506]"
